id,x,y,class,distance,vx,vy
292,1413.0903615,666.4216865,2,44.81722390671877,1450,641
293,2034.923256,665.683721,0,82.03512507485671,1984,730
294,3761.5,666.0,0,68.96557112066861,3809,616
295,1380.9142855,667.2107145,2,73.89071323634668,1450,641
296,1494.0503875,667.1627905,7,35.89516869506318,1462,651
297,2928.2310925,668.1764705,7,3.5986237064920976,2926,671
298,1438.2431975,667.760204,2,26.292008256229224,1453,646
299,3207.0080645,667.6935485,0,280.0790736837686,2927,674
300,1533.2906975,669.023256,0,50.98167846273843,1534,720
301,1352.4904945,669.1577945,2,101.49367001916302,1450,641
302,3936.7260275,669.6643835,7,3.4137154781598906,3936,673
303,1192.288,669.54,6,75.29137097968136,1216,741
304,1207.786982,668.973373,0,72.49336977727995,1216,741
305,1247.833913,671.4191305,2,76.51728835542716,1216,741
306,1430.5894735,669.4210525,2,32.41569678743556,1453,646
307,1446.5135135,670.382883,2,23.613163098288418,1460,651
308,2050.586283,670.163717,0,89.45732975565606,1985,731
309,1200.679487,669.8820515,2,72.74943791832223,1216,741
310,2950.931818,670.6363635,0,24.16704291569941,2927,674
311,4424.9122805,670.394737,0,154.23468788184422,4513,797
312,1323.530864,670.402998,0,126.44747723847443,1220,743
313,1524.526163,670.7093025,0,50.19289240060859,1534,720
314,2122.875,671.0,0,76.5360413465447,2158,739
315,4606.7611335,672.866397,0,138.39472224390067,4651,804
316,1462.034483,671.7413795,2,20.741408164353476,1462,651
317,2124.0,671.0,0,76.02631123499285,2158,739
318,1294.5474775,671.5,2,103.29364163206276,1220,743
319,1345.9215685,672.382353,0,108.7068166368458,1450,641
320,1475.9824905,671.749027,0,25.020634724749062,1462,651
321,2122.0,671.5,0,76.5,2158,739
322,1510.7259035,672.2183735,2,52.826944572602514,1531,721
323,4589.122222,673.0333335,0,141.16457843715432,4539,805
324,1487.6548675,673.7345135,0,34.27871541531619,1462,651
325,2916.896907,673.863402,5,0.17113497670858757,2917,674
326,1188.9452055,674.3630135,6,71.91974607323374,1216,741
327,1273.591362,674.7657805,0,86.76371817637377,1220,743
328,1501.322034,675.6461865,0,46.407508733931635,1462,651
329,1170.7862905,675.5,0,79.58975767490686,1216,741
330,1233.0652175,674.339465,0,68.81023597407967,1216,741
331,1417.3591885,675.288783,7,46.13133700641695,1453,646
332,1784.9194315,675.156398,0,203.17292982978222,1973,752
333,1428.1554055,676.2094595,0,39.11349280173753,1453,646
334,1944.5508475,676.5084745,0,66.46486991851718,1984,730
335,1527.652778,676.2546295,7,44.203446328307464,1534,720
336,1537.5520835,678.8988095,0,41.10489820822167,1537,720
337,2487.8377195,676.640351,0,231.89245721533064,2689,792
338,1936.737354,676.7879375,2,71.17078967122126,1984,730
339,1447.3041665,677.5458335,0,29.42559199862325,1460,651
340,1313.8933485,679.0344035,0,113.61143616794595,1220,743
341,5354.41209,678.8076925,0,184.59289349902582,5404,501
342,1685.875,679.0,0,149.74066122800446,1547,735
343,1472.1629215,681.303371,0,31.962153672410786,1462,651
344,1518.4106665,679.8146665,2,43.066495254204774,1531,721
345,1685.5,680.0,0,149.02097167848558,1547,735
346,1210.4081965,679.5081965,2,61.7455274822818,1216,741
347,1493.6339285,681.517857,0,43.955034162375064,1462,651
348,2410.7317075,681.9268295,0,247.441600554126,2172,747
349,1170.527027,682.216216,0,74.3190724835649,1216,741
350,1228.261905,682.363095,0,59.90526639793906,1216,741
351,2389.0,681.5,0,226.6699141924221,2172,747
352,1141.0443925,681.558411,0,89.43823008389073,1090,755
353,1238.419414,682.96337,4,62.21640093946521,1216,741
354,1256.963526,682.1215805,0,71.22137470711057,1220,743
355,1267.216981,683.028302,0,76.32855203498598,1220,743
356,2880.6666665,682.777778,7,4.440276099468063,2883,679
357,3226.5555555,683.111111,0,299.66534826797704,2927,675
358,1199.7569445,683.7916665,2,59.46957435380972,1216,741
359,1935.3305785,684.181818,2,66.84323743603227,1984,730
360,1178.601695,684.334746,0,67.89391893061952,1216,741
361,1348.791096,684.296233,0,110.08090679528182,1450,641
362,1380.074627,683.8880595,4,82.03013736953437,1450,641
